Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	Fasta.headers	Peptides	Razor...unique.peptides	Unique.peptides	LFQ.intensity.Ubi4_1	LFQ.intensity.Ubi4_2	LFQ.intensity.Ubi4_3	LFQ.intensity.Ubi6_1	LFQ.intensity.Ubi6_2	LFQ.intensity.Ubi6_3	LFQ.intensity.Ctrl_1	LFQ.intensity.Ctrl_2	LFQ.intensity.Ctrl_3	LFQ.intensity.Ubi1_1	LFQ.intensity.Ubi1_2	LFQ.intensity.Ubi1_3	Only.identified.by.site	Reverse	Potential.contaminant
A0AV96-2;B7Z8Z7;A0AV96;D6R9D6;D6RBS9;D6REZ6;D6R9M7;D6RCT1;D6RBP6;D6RA49;D6RFL5;Q5T0W7;Q8TBY0-2;Q8TBY0-3;Q9NQ94-5;Q8TBY0;Q9NQ94-6;Q9NQ94-3;Q9NQ94-2;F8W9F8;Q9NQ94-4;Q9NQ94	A0AV96-2;B7Z8Z7;A0AV96;D6R9D6;D6RBS9	RNA-binding protein 47	RBM47	>sp|A0AV96-2|RBM47_HUMAN Isoform 2 of RNA-binding protein 47 OS=Homo sapiens GN=RBM47;>tr|B7Z8Z7|B7Z8Z7_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=2 SV=1;>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2;>tr|D6R	7	7	7	35787000	24701000	29855000	28313000	23266000	32705000	25898000	31275000	23076000	27664000	32314000	31097000			
A0AVT1;A0AVT1-2;H0Y8S8;A0AVT1-4;A0AVT1-3	A0AVT1;A0AVT1-2	Ubiquitin-like modifier-activating enzyme 6	UBA6	>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1;>sp|A0AVT1-2|UBA6_HUMAN Isoform 2 of Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6	6	6	6	0	0	0	0	0	0	7260800	8612300	7816000	9907700	12387000	9023800			
A1L0T0;M0R026;E9PL44;E9PJS0;M0R1B5	A1L0T0;M0R026	Acetolactate synthase-like protein	ILVBL	>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2;>tr|M0R026|M0R026_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=1	5	5	5	0	0	0	0	0	0	29905000	15926000	24390000	26683000	22254000	26705000			
A1XBS5-5;E5RHK0;F8W7P5;E5RGD0;H0YC32;A1XBS5-2;A1XBS5-4;A1XBS5-3;A1XBS5	A1XBS5-5;E5RHK0;F8W7P5;E5RGD0;H0YC32;A1XBS5-2;A1XBS5-4;A1XBS5-3;A1XBS5	Protein FAM92A1	FAM92A1	>sp|A1XBS5-5|F92A1_HUMAN Isoform 5 of Protein FAM92A1 OS=Homo sapiens GN=FAM92A1;>tr|E5RHK0|E5RHK0_HUMAN Protein FAM92A1 OS=Homo sapiens GN=FAM92A1 PE=4 SV=1;>tr|F8W7P5|F8W7P5_HUMAN Protein FAM92A1 OS=Homo sapiens GN=FAM92A1 PE=4 SV=1;>tr|E5RGD0|E5RGD0_HUM	1	1	1	0	0	0	0	0	0	0	0	0	0	0	7675300	+		
Q99798;A2A274	Q99798;A2A274	"Aconitate hydratase, mitochondrial"	ACO2	">sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2;>tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=1"	10	10	10	26040000	21259000	24578000	16447000	24326000	26771000	25905000	20731000	20347000	26919000	22159000	14413000			
A2A2M0;Q9NQG5	A2A2M0;Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B	RPRD1B	>tr|A2A2M0|A2A2M0_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 1B (Fragment) OS=Homo sapiens GN=RPRD1B PE=1 SV=1;>sp|Q9NQG5|RPR1B_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens GN=RPRD1B PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	2942700	0			
Q9Y312;A2A2Q9	Q9Y312;A2A2Q9	Protein AAR2 homolog	AAR2	>sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=2;>tr|A2A2Q9|A2A2Q9_HUMAN Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	3546000	0			
A2A2V2;P42696;Q5TCT4;P42696-2	A2A2V2;P42696;Q5TCT4;P42696-2	RNA-binding protein 34	RBM34	>tr|A2A2V2|A2A2V2_HUMAN RNA-binding protein 34 (Fragment) OS=Homo sapiens GN=RBM34 PE=1 SV=1;>sp|P42696|RBM34_HUMAN RNA-binding protein 34 OS=Homo sapiens GN=RBM34 PE=1 SV=2;>tr|Q5TCT4|Q5TCT4_HUMAN RNA-binding protein 34 (Fragment) OS=Homo sapiens GN=RBM34	2	2	2	0	0	0	0	0	0	0	0	0	0	0	6757600			
A2A2Z9;Q9H560	A2A2Z9;Q9H560	Ankyrin repeat domain-containing protein 18B;Putative ankyrin repeat domain-containing protein 19	ANKRD18B;ANKRD19P	>sp|A2A2Z9|AN18B_HUMAN Ankyrin repeat domain-containing protein 18B OS=Homo sapiens GN=ANKRD18B PE=1 SV=1;>sp|Q9H560|ANR19_HUMAN Putative ankyrin repeat domain-containing protein 19 OS=Homo sapiens GN=ANKRD19P PE=5 SV=1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	137440000			
A6PW58;A2A5X0;Q99755-2;Q99755-4;Q99755-3;A6PW57;Q99755	A6PW58;A2A5X0;Q99755-2;Q99755-4;Q99755-3;A6PW57;Q99755	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	PIP5K1A	>tr|A6PW58|A6PW58_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (Fragment) OS=Homo sapiens GN=PIP5K1A PE=1 SV=1;>tr|A2A5X0|A2A5X0_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (Fragment) OS=Homo sapiens GN=PIP5K1A PE=1 SV=1;>s	1	1	1	0	0	0	0	0	0	0	0	3204100	0	0	0			
O15533-2;O15533;D3YTI9;A2AB90;O15533-3;C9JA35;O15533-4	O15533-2;O15533;D3YTI9;A2AB90;O15533-3;C9JA35;O15533-4	Tapasin	TAPBP	>sp|O15533-2|TPSN_HUMAN Isoform 2 of Tapasin OS=Homo sapiens GN=TAPBP;>sp|O15533|TPSN_HUMAN Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1;>tr|D3YTI9|D3YTI9_HUMAN Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1;>tr|A2AB90|A2AB90_HUMAN Tapasin OS=Homo sapiens GN=TAP	4	4	4	36497000	33055000	33825000	0	38271000	23501000	19923000	40773000	38824000	39649000	34857000	36504000			
A2IDC6;Q4TT38;Q13084	A2IDC6;Q4TT38;Q13084	"39S ribosomal protein L28, mitochondrial"	MRPL28	">tr|A2IDC6|A2IDC6_HUMAN 39S ribosomal protein L28, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL28 PE=1 SV=1;>tr|Q4TT38|Q4TT38_HUMAN 39S ribosomal protein L28, mitochondrial OS=Homo sapiens GN=MRPL28 PE=1 SV=1;>sp|Q13084|RM28_HUMAN 39S ribosomal protein"	1	1	1	0	0	0	0	0	4667800	0	0	0	0	0	0			
Q13887-2;A2TJX0;Q13887	Q13887-2;A2TJX0;Q13887	Krueppel-like factor 5	KLF5	>sp|Q13887-2|KLF5_HUMAN Isoform 2 of Krueppel-like factor 5 OS=Homo sapiens GN=KLF5;>tr|A2TJX0|A2TJX0_HUMAN Krueppel-like factor 5 OS=Homo sapiens GN=KLF5 PE=2 SV=1;>sp|Q13887|KLF5_HUMAN Krueppel-like factor 5 OS=Homo sapiens GN=KLF5 PE=1 SV=2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	7325800			
A3KFJ0;O14965;Q5QPD4;A3KFJ1;Q5QPD2;A3KFJ2;Q5QPD1;B4DXA6;Q9UQB9-2;Q9UQB9-3;Q5Y191;Q9UQB9	A3KFJ0;O14965;Q5QPD4;A3KFJ1;Q5QPD2	Aurora kinase A	AURKA	>tr|A3KFJ0|A3KFJ0_HUMAN Aurora kinase A OS=Homo sapiens GN=AURKA PE=1 SV=1;>sp|O14965|AURKA_HUMAN Aurora kinase A OS=Homo sapiens GN=AURKA PE=1 SV=2;>tr|Q5QPD4|Q5QPD4_HUMAN Aurora kinase A (Fragment) OS=Homo sapiens GN=AURKA PE=1 SV=1;>tr|A3KFJ1|A3KFJ1_HUM	7	7	6	0	0	21207000	19295000	20938000	23387000	17511000	19447000	21828000	15733000	18600000	22449000			
A3KMH1-3;A3KMH1;A3KMH1-2	A3KMH1-3;A3KMH1;A3KMH1-2	von Willebrand factor A domain-containing protein 8	VWA8	>sp|A3KMH1-3|VWA8_HUMAN Isoform 3 of von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8;>sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2;>sp|A3KMH1-2|VWA8_HUMAN Isoform 2 o	12	12	12	0	0	0	0	0	0	17080000	16445000	10592000	16478000	1.20E+07	15470000			
A4D1E9;C9J8R7;C9JNI1;A4D1E9-2;C9JEQ8	A4D1E9;C9J8R7;C9JNI1;A4D1E9-2	GTP-binding protein 10	GTPBP10	>sp|A4D1E9|GTPBA_HUMAN GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1;>tr|C9J8R7|C9J8R7_HUMAN GTP-binding protein 10 (Fragment) OS=Homo sapiens GN=GTPBP10 PE=1 SV=1;>tr|C9JNI1|C9JNI1_HUMAN GTP-binding protein 10 (Fragment) OS=Homo sapiens GN=G	6	6	6	8031400	0	0	0	0	0	0	0	0	0	0	0			
Q5TGE2;A5PLL7-2;A5PLL7	Q5TGE2;A5PLL7-2;A5PLL7	Transmembrane protein 189	TMEM189	">tr|Q5TGE2|Q5TGE2_HUMAN HCG2044780, isoform CRA_b OS=Homo sapiens GN=TMEM189 PE=1 SV=1;>sp|A5PLL7-2|TM189_HUMAN Isoform 2 of Transmembrane protein 189 OS=Homo sapiens GN=TMEM189;>sp|A5PLL7|TM189_HUMAN Transmembrane protein 189 OS=Homo sapiens GN=TMEM189 PE"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1889300			
